ts_code,symbol,name,k,d,j,簇
600096.SH,600096,云天化,76.64407586311287,65.5035037029508,98.92522018343703,0.0
600097.SH,600097,开创国际,65.00404876567255,50.44462099221524,94.12290431258717,2.0
600098.SH,600098,广州发展,63.56396126300268,50.49018596561845,89.71151185777116,2.0
600099.SH,600099,林海股份,47.9549164466236,37.79006602033823,68.28461729919434,1.0
600100.SH,600100,同方股份,56.78129629823772,40.99648539184465,88.35091811102386,2.0
600101.SH,600101,明星电力,82.71752206573468,71.01315375773461,106.12625868173484,0.0
600103.SH,600103,青山纸业,79.45386867383657,60.35479726149759,117.65201149851454,0.0
600104.SH,600104,上汽集团,84.46468824489918,80.30949891162398,92.77506691144958,0.0
600105.SH,600105,永鼎股份,67.1521297191691,53.3375118582954,94.78136544091647,2.0
600106.SH,600106,重庆路桥,75.31011545491788,58.79665237047393,108.33704162380576,0.0
600107.SH,600107,美尔雅,55.26729976829348,46.56218656456591,72.67752617574865,2.0
600108.SH,600108,亚盛集团,67.57870309694033,53.24880207219513,96.23850514643073,2.0
600109.SH,600109,国金证券,83.21652272207677,67.65211809198455,114.34533198226124,0.0
600110.SH,600110,诺德股份,71.40885483036939,51.492492735200905,111.24157902070635,0.0
600111.SH,600111,北方稀土,74.71332087853426,58.018730146924646,108.10250234175348,0.0
600113.SH,600113,浙江东日,44.89119294760827,35.2576249159476,64.1583290109296,1.0
600114.SH,600114,东睦股份,90.81308467929952,86.34781768356166,99.74361867077522,0.0
600115.SH,600115,中国东航,82.9143145588461,75.87531933334243,96.99230500985342,0.0
600116.SH,600116,三峡水利,66.23010768839093,66.83153267682033,65.02725771153212,2.0
600117.SH,600117,西宁特钢,41.39699605515023,31.285701456294788,61.6195852528611,1.0
600118.SH,600118,中国卫星,76.21543317044998,62.18094909724056,104.28440131686882,0.0
600119.SH,600119,长江投资,26.454390951955887,20.08315787588306,39.19685710410154,1.0
600120.SH,600120,浙江东方,55.58606819073335,40.39019574440668,85.97781308338668,2.0
600121.SH,600121,郑州煤电,75.14359108059354,54.95164186578885,115.52748951020294,0.0
600123.SH,600123,兰花科创,85.26076354785158,74.68071109996154,106.42086844363166,0.0
600125.SH,600125,铁龙物流,77.32521693469498,65.88396322631229,100.20772435146034,0.0
600126.SH,600126,杭钢股份,78.62420213677493,65.0138045712585,105.84499726780776,0.0
600127.SH,600127,金健米业,70.65917943190131,53.986219312832354,104.00509967003924,0.0
600128.SH,600128,弘业股份,42.6818436115089,29.332416933020458,69.38069696848581,1.0
600129.SH,600129,太极集团,82.01532948336899,62.24026556397476,121.56545732215744,0.0
600130.SH,600130,波导股份,67.64198041939821,48.21686745316045,106.49220635187372,2.0
600132.SH,600132,重庆啤酒,79.3362563885201,66.70387680386187,104.60101555783656,0.0
600133.SH,600133,东湖高新,51.53230102694744,36.36235028022868,81.87220252038497,2.0
600135.SH,600135,乐凯胶片,67.55204172159245,50.876923660622886,100.90227784353156,2.0
600136.SH,600136,当代文体,71.76353258612389,55.29791697114837,104.69476381607492,0.0
600137.SH,600137,浪莎股份,65.63676560895674,49.50630739335726,97.89768204015569,2.0
600138.SH,600138,中青旅,80.311131357074,65.6810616390089,109.5712707932042,0.0
600141.SH,600141,兴发集团,57.97164901567661,42.76590788505827,88.38313127691328,2.0
600143.SH,600143,金发科技,36.736094884544414,29.280311403083168,51.64766184746691,1.0
600148.SH,600148,长春一东,78.28146489942918,57.53935628203854,119.76568213421046,0.0
600149.SH,600149,廊坊发展,70.75472834831996,55.20656808959008,101.85104886577972,0.0
600150.SH,600150,中国船舶,68.03469827548344,55.199673166334975,93.70474849378036,2.0
600151.SH,600151,航天机电,81.89208838575546,65.26253280249976,115.15119955226685,0.0
600152.SH,600152,维科技术,65.28470098618111,51.46147982595622,92.93114330663089,2.0
600153.SH,600153,建发股份,90.49049039567358,83.9971386480602,103.47719389090032,0.0
600155.SH,600155,华创阳安,65.1014349651589,45.72740072023465,103.84950345500742,2.0
600156.SH,600156,华升股份,66.06883557307765,50.373761870905554,97.45898297742184,2.0
600157.SH,600157,永泰能源,68.12180653090164,48.24967702295439,107.86606554679614,2.0
600158.SH,600158,中体产业,75.82158121266626,57.518141675226985,112.4284602875448,0.0
600159.SH,600159,大龙地产,74.00484749991142,55.049497221763474,111.91554805620731,0.0
600160.SH,600160,巨化股份,77.66362070635986,79.00467697674074,74.98150816559811,0.0
600161.SH,600161,天坛生物,87.56883600860677,83.46483085644411,95.7768463129321,0.0
600162.SH,600162,香江控股,76.315301041901,67.17178039411112,94.60234233748074,0.0
600163.SH,600163,中闽能源,77.3338448278674,65.30855619904389,101.38442208551442,0.0
600165.SH,600165,新日恒力,72.5115257872154,52.55820141128852,112.41817453906916,0.0
600166.SH,600166,福田汽车,66.34886174620053,46.457868170495495,106.1308488976106,2.0
600167.SH,600167,联美控股,83.72630686719769,78.31677076922628,94.5453790631405,0.0
600168.SH,600168,武汉控股,81.35381420497362,66.16920337079745,111.72303587332595,0.0
600169.SH,600169,太原重工,62.09673990744849,50.560316366065,85.16958699021546,2.0
600170.SH,600170,上海建工,88.6066366760029,87.34689074216595,91.12612854367684,0.0
600171.SH,600171,上海贝岭,62.41559137888256,48.22533516324606,90.79610381015556,2.0
600172.SH,600172,黄河旋风,74.43248221897446,53.61747005468175,116.06250654755986,0.0
600173.SH,600173,卧龙地产,60.17719468992175,59.16580919067802,62.19996568840921,1.0
600176.SH,600176,中国巨石,81.70764008970028,75.64159401516845,93.83973223876392,0.0
600177.SH,600177,雅戈尔,91.81315048199698,83.72727481311574,107.98490181975944,0.0
600178.SH,600178,东安动力,23.257812956474083,25.344016944064222,19.0854049812938,1.0
600179.SH,600179,安通控股,56.24422392307203,41.64324105953963,85.44618965013683,2.0
600180.SH,600180,瑞茂通,69.54469044574086,52.435632943169,103.76280545088456,2.0
600183.SH,600183,生益科技,82.99887539029457,70.70899899450556,107.57862818187256,0.0
600184.SH,600184,光电股份,75.460530847623,56.73639871431706,112.90879511423488,0.0
600185.SH,600185,格力地产,82.12069023682315,70.59532458524475,105.17142153997996,0.0
600186.SH,600186,莲花健康,42.80012411660488,31.59231829543993,65.21573575893477,1.0
600187.SH,600187,国中水务,49.08976176331896,36.63874051142187,73.99180426711311,1.0
600188.SH,600188,兖矿能源,82.88286181093784,73.45901161613193,101.73056220054966,0.0
600189.SH,600189,泉阳泉,64.42878343518646,47.23049912501554,98.8253520555283,2.0
600190.SH,600190,锦州港,66.46028813884902,47.53393893377724,104.31298654899258,2.0
600192.SH,600192,长城电工,76.58837959476332,64.42220837795192,100.92072202838614,0.0
600193.SH,600193,创兴资源,44.12585792222389,33.75069343334239,64.87618689998689,1.0
600195.SH,600195,中牧股份,76.97748565130956,61.043167548276045,108.8461218573766,0.0
600196.SH,600196,复星医药,87.79075833462058,77.80474984329156,107.7627753172786,0.0
600197.SH,600197,伊力特,76.02895981160557,65.1277619472792,97.83135554025831,0.0
600198.SH,600198,大唐电信,65.79961624355282,51.46853369081558,94.4617813490273,2.0
600199.SH,600199,金种子酒,76.6846413277657,63.858719647636505,102.33648468802411,0.0
600200.SH,600200,江苏吴中,49.61490156390697,41.45987905324074,65.92494658523941,1.0
600201.SH,600201,生物股份,78.60756264659426,60.38188667829333,115.05891458319611,0.0
600202.SH,600202,哈空调,66.66278759874987,49.604180225237855,100.78000234577392,2.0
600203.SH,600203,福日电子,60.534850356814346,44.61943338332502,92.36568430379302,2.0
600206.SH,600206,有研新材,72.56154213116784,60.03805918242133,97.60850802866086,0.0
600207.SH,600207,安彩高科,65.7506416213748,41.298895585125656,114.65413369387308,2.0
600208.SH,600208,新湖中宝,86.3561794774704,73.48975642730026,112.0890255778107,0.0
600210.SH,600210,紫江企业,63.34899403866,45.89314685531515,98.26068840534968,2.0
600211.SH,600211,西藏药业,78.51514365705675,58.34582115887278,118.85378865342471,0.0
600212.SH,600212,江泉实业,50.86828628453202,36.37791071457211,79.84903742445184,2.0
600213.SH,600213,亚星客车,55.65997991330943,41.01432016999355,84.95129939994118,2.0
600215.SH,600215,派斯林,59.61527221867193,60.289927881309865,58.26596089339608,1.0
600216.SH,600216,浙江医药,77.45251228215056,62.49823364495634,107.361069556539,0.0
600217.SH,600217,中再资环,67.06009459501675,49.47624322427712,102.227797336496,2.0
600218.SH,600218,全柴动力,37.77660524587802,42.801028248552754,27.727759240528545,1.0
600219.SH,600219,南山铝业,74.4871566859039,57.262709653140455,108.93605075143078,0.0
600220.SH,600220,江苏阳光,57.75620380279419,44.58768929693825,84.09323281450608,2.0
600222.SH,600222,太龙药业,82.42929627716762,67.12150220568255,113.04488442013778,0.0
600223.SH,600223,鲁商发展,86.95687471454701,82.11137700093012,96.64787014178084,0.0
600227.SH,600227,圣济堂,73.0174791449416,55.06081710764956,108.9308032195257,0.0
600228.SH,600228,返利科技,75.46895754437324,60.044722043323645,106.31742854647244,0.0
600229.SH,600229,城市传媒,70.8071485424928,55.94290766429639,100.53563029888562,0.0
