ts_code,symbol,name,k,d,j
600106.SH,600106,重庆路桥,52.5659646574679,56.53594771241826,44.62599854756718
600107.SH,600107,美尔雅,34.43870618189476,40.36968941843697,22.576739708810337
600108.SH,600108,亚盛集团,81.75582990397805,76.04938271604937,93.16872427983543
600109.SH,600109,国金证券,54.797857070737294,60.5391150039289,43.3153412043541
600110.SH,600110,诺德股份,49.5309321476046,56.21721939804728,36.15835764671925
600111.SH,600111,北方稀土,41.375167343754484,41.80994487914001,40.50561227298343
600113.SH,600113,浙江东日,21.63531053980888,29.58891515014686,5.728101319132918
600114.SH,600114,东睦股份,37.39896177949922,43.50574248903951,25.185400360418626
600115.SH,600115,中国东航,77.66088575347825,72.28718400940618,88.40828924162241
600116.SH,600116,三峡水利,81.60999205833512,74.10728467258676,96.61540682983184
600117.SH,600117,西宁特钢,69.89460158705349,69.00557378757094,71.67265718601857
600118.SH,600118,中国卫星,42.81250174312077,48.7977574696012,30.8419902901599
600119.SH,600119,长江投资,38.39590619086064,48.82116435752587,17.545389857530182
600120.SH,600120,浙江东方,46.539550123013385,54.241988110039216,31.13467414896172
600121.SH,600121,郑州煤电,64.37117034877582,62.10762408867487,68.89826286897772
600123.SH,600123,兰花科创,72.95625018241253,67.8200444157891,83.2286617156594
600125.SH,600125,铁龙物流,63.62833325796292,60.35785887637741,70.16928202113392
600126.SH,600126,杭钢股份,68.24233329034433,65.70261725268585,73.32176536566129
600127.SH,600127,金健米业,59.3015918297721,63.669228725589385,50.56631803813754
600128.SH,600128,弘业股份,21.558501286319554,30.853146264802334,2.969211329353996
600129.SH,600129,太极集团,62.53169397234164,66.4218871679347,54.751307581155515
600130.SH,600130,波导股份,32.735685502604944,40.97946163235422,16.24813324310638
600132.SH,600132,重庆啤酒,72.57414677840202,67.06665511350319,83.5891301081997
600133.SH,600133,东湖高新,47.17556791630865,51.541777838074125,38.44314807277772
600135.SH,600135,乐凯胶片,48.55600542020152,58.18428171877178,29.299452823061003
600136.SH,600136,当代文体,38.02231706993601,38.82777036216179,36.41141048548444
600137.SH,600137,浪莎股份,72.35976211119144,64.91512140468146,87.2490435242114
600138.SH,600138,中青旅,82.46722685240667,73.70469959751895,99.9922813621821
600141.SH,600141,兴发集团,36.02678637896289,36.15892137282748,35.7625163912337
600143.SH,600143,金发科技,41.30419420542872,51.35760901192995,21.197364592426254
600148.SH,600148,长春一东,30.001049234813575,43.039162047090805,3.9248236102591108
600149.SH,600149,廊坊发展,76.46148987400474,72.34956193355633,84.68534575490156
600150.SH,600150,中国船舶,55.85163889096818,67.06942334318836,33.416069986527816
600151.SH,600151,航天机电,20.47243812226639,30.998757091774305,-0.5801998167494418
600152.SH,600152,维科技术,45.6855247531702,44.892620364396706,47.271333530717186
600153.SH,600153,建发股份,78.75302692054079,73.09457033010648,90.06994010140943
600155.SH,600155,华创阳安,29.938439983840205,39.946950110231654,9.921419731057313
600156.SH,600156,华升股份,30.557448685045077,45.51306774489185,0.646210565351538
600157.SH,600157,永泰能源,81.67496931629485,77.05147642769474,90.92195509349509
