"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600033.SH","600033","福建高速","福建","路桥","福建发展高速公路股份有限公司","主板","20010209"
"600035.SH","600035","楚天高速","湖北","路桥","湖北楚天智能交通股份有限公司","主板","20040310"
"600036.SH","600036","招商银行","深圳","银行","招商银行股份有限公司","主板","20020409"
"600037.SH","600037","歌华有线","北京","影视音像","北京歌华有线电视网络股份有限公司","主板","20010208"
"600038.SH","600038","中直股份","黑龙江","航空","中航直升机股份有限公司","主板","20001218"
"600039.SH","600039","四川路桥","四川","建筑工程","四川路桥建设集团股份有限公司","主板","20030325"
"600048.SH","600048","保利发展","广东","全国地产","保利发展控股集团股份有限公司","主板","20060731"
"600050.SH","600050","中国联通","北京","电信运营","中国联合网络通信股份有限公司","主板","20021009"
"600051.SH","600051","宁波联合","浙江","综合类","宁波联合集团股份有限公司","主板","19970410"
"600052.SH","600052","东望时代","浙江","影视音像","浙江东望时代科技股份有限公司","主板","19970415"
"600053.SH","600053","九鼎投资","江西","多元金融","昆吾九鼎投资控股股份有限公司","主板","19970418"
"600054.SH","600054","黄山旅游","安徽","旅游景点","黄山旅游发展股份有限公司","主板","19970506"
"600055.SH","600055","万东医疗","北京","医疗保健","北京万东医疗科技股份有限公司","主板","19970519"
"600056.SH","600056","中国医药","北京","医药商业","中国医药健康产业股份有限公司","主板","19970515"
"600057.SH","600057","厦门象屿","福建","仓储物流","厦门象屿股份有限公司","主板","19970604"
"600058.SH","600058","五矿发展","北京","商贸代理","五矿发展股份有限公司","主板","19970528"
"600059.SH","600059","古越龙山","浙江","红黄酒","浙江古越龙山绍兴酒股份有限公司","主板","19970516"
"600060.SH","600060","海信视像","山东","家用电器","海信视像科技股份有限公司","主板","19970422"
"600061.SH","600061","国投资本","上海","证券","国投资本股份有限公司","主板","19970519"
"600062.SH","600062","华润双鹤","北京","化学制药","华润双鹤药业股份有限公司","主板","19970522"
"600063.SH","600063","皖维高新","安徽","化纤","安徽皖维高新材料股份有限公司","主板","19970528"
"600064.SH","600064","南京高科","江苏","园区开发","南京高科股份有限公司","主板","19970506"
"600066.SH","600066","宇通客车","河南","汽车整车","宇通客车股份有限公司","主板","19970508"
"600067.SH","600067","冠城大通","福建","全国地产","冠城大通股份有限公司","主板","19970508"
"600070.SH","600070","浙江富润","浙江","互联网","浙江富润数字科技股份有限公司","主板","19970604"
"600071.SH","600071","凤凰光学","江西","元器件","凤凰光学股份有限公司","主板","19970528"
"600072.SH","600072","中船科技","上海","船舶","中船科技股份有限公司","主板","19970603"
"600073.SH","600073","上海梅林","上海","食品","上海梅林正广和股份有限公司","主板","19970704"
"600075.SH","600075","新疆天业","新疆","化工原料","新疆天业股份有限公司","主板","19970617"
"600076.SH","600076","康欣新材","山东","其他建材","康欣新材料股份有限公司","主板","19970526"
"600077.SH","600077","宋都股份","浙江","全国地产","宋都基业投资股份有限公司","主板","19970520"
"600078.SH","600078","*ST澄星","江苏","化工原料","江苏澄星磷化工股份有限公司","主板","19970627"
"600079.SH","600079","人福医药","湖北","化学制药","人福医药集团股份公司","主板","19970606"
"600080.SH","600080","金花股份","陕西","中成药","金花企业(集团)股份有限公司","主板","19970612"
"600081.SH","600081","东风科技","上海","汽车配件","东风电子科技股份有限公司","主板","19970703"
"600082.SH","600082","海泰发展","天津","园区开发","天津海泰科技发展股份有限公司","主板","19970620"
"600083.SH","600083","*ST博信","江苏","综合类","江苏博信投资控股股份有限公司","主板","19970606"
"600084.SH","600084","*ST中葡","新疆","红黄酒","中信国安葡萄酒业股份有限公司","主板","19970711"
"600085.SH","600085","同仁堂","北京","中成药","北京同仁堂股份有限公司","主板","19970625"
"600088.SH","600088","中视传媒","上海","影视音像","中视传媒股份有限公司","主板","19970616"
"600089.SH","600089","特变电工","新疆","电气设备","特变电工股份有限公司","主板","19970618"
"600090.SH","600090","*ST济堂","新疆","医药商业","新疆同济堂健康产业股份有限公司","主板","19970616"
"600091.SH","600091","*ST明科","内蒙","化工原料","包头明天科技股份有限公司","主板","19970704"
"600093.SH","600093","*ST易见","云南","多元金融","易见供应链管理股份有限公司","主板","19970626"
"600094.SH","600094","大名城","上海","区域地产","上海大名城企业股份有限公司","主板","19970703"
"600095.SH","600095","湘财股份","黑龙江","证券","湘财股份有限公司","主板","19970708"
